Sample,Counts,Mean             (Counts - Blanks),Activity         (% Control),Mean,SD*
,,,,,
T10649 @ 0.003µM,8718,8617,99,100,1
,8803,,100,,
T10649 @ 0.009µM,8746,8529,100,99,1
,8599,,98,,
T10649 @ 0.03µM,8413,8042,96,94,4
,7958,,91,,
T10649 @ 0.09µM,8248,8549,94,99,7
,9138,,104,,
T10649 @ 0.3µM,7323,7193,83,84,0
,7351,,84,,
T10649 @ 0.9µM,5640,5519,64,64,0
,5686,,64,,
T10649 @ 3µM,4116,3860,46,45,2
,3891,,43,,
T10649 @ 9µM,1748,1679,19,20,1
,1897,,20,,
T10649 @ 30µM,818,646,8,8,0
,762,,7,,
CONTROL,9790,8631,112,100,9
,8903,,101,,
,8206,,93,,
,8199,,93,,
BLANK,88,/,/,/,/
,200,,/,,
,,,,,
,,,,,
"* NB. Where n = 2, the value reported here is actually range / √ 2",,,,,
