classification,captured_interval_length,feature_maximum_copy_number
ecDNA,2488757.0,67.4193292013
ecDNA,4901014.0,17.2834896304
ecDNA,3343884.0,24.8540688714
ecDNA,1463324.0,10.0472005948
ecDNA,1398937.0,44.5618962874
BFB,449775.0,6.2351913932
ecDNA,139766.0,10.0708826635
ecDNA,1232800.0,10.7179170417
BFB,382383.0,14.2918649964
ecDNA,23364310.0,33.6394034773
ecDNA,719641.0,8.0536443464
BFB,364878.0,29.2612491089
BFB,3017148.0,24.0994713305
BFB,596137.0,24.4254106678
ecDNA,389657.0,5.9833139739
BFB,150907.0,5.8771075004
ecDNA,2140390.0,5.3055617787
ecDNA,278964.0,8.5727448734
ecDNA,10011141.0,36.9339435323
ecDNA,9437379.0,37.7451905528
ecDNA,160953.0,14.683670214
ecDNA,387932.0,7.8465778598
ecDNA,1067167.0,18.5456308926
ecDNA,81891.0,6.9950062745
ecDNA,74831.0,13.053014663
ecDNA,5715467.0,13.2636996778
ecDNA,47442.0,22.3864294657
ecDNA,188433.0,6.4671510744
BFB,3604486.0,15.3191958416
ecDNA,1636243.0,11.2657998089
ecDNA,9392399.0,8.6941519522
ecDNA,5597103.0,8.383474245
ecDNA,18995.0,8.8066576025
ecDNA,413289.0,9.1646110617
BFB,182671.0,10.1828078927
BFB,236904.0,5.8307662457
ecDNA,1372481.0,9.5251601405
ecDNA,1692869.0,89.8743011886
ecDNA,7422204.0,21.1299348159
ecDNA,977458.0,127.7325330438
BFB,2096997.0,8.0481175545
ecDNA,2049413.0,146.6307692031
ecDNA,1060785.0,8.6287072975
ecDNA,2044120.0,57.7799507806
BFB,12452516.0,14.0310711603
ecDNA,133304.0,14.4470449749
ecDNA,627640.0,72.6694724806
ecDNA,7175976.0,17.8536518974
ecDNA,914292.0,18.0176854283
ecDNA,2386480.0,90.7465211798
